John Tree Names,Gender,Languages,Form,Parent Name,Level
Jo,M,German,Diminutive,Johannes,6

Johannes,M,Norwegian,Full,Iohannes,5

Jo,M,Norwegian,Diminutive,Johannes,6

Johannes,M,Swedish,Full,Iohannes,5

Hannes,M,Swedish,Diminutive,Johannes,6

Jons,M,Swedish,Diminutive,Johannes,6

Johano,M,Esperanto,Full,Iohannes,5

Jocjo,M,Esperanto,Diminutive,Johano,6

John,M,English,Full,Iohannes,5

Hone,M,Maori,Variant,John,6

Jhon,M,Spanish (Latin),Variant,John,6

Johna,F,English,Variant,John,7

Johnathan,M,English,Influence,John,7

Johnathon,M,English,Influence,John,7

Johnie,M,English,Diminutive,John,7

Johnie,F,English,Diminutive,John,7

Johnna,F,English,Variant,John,7

Johnnie,M,English,Diminutive,John,7

Johnnie,F,English,Diminutive,John,7

Johnny,M,English,Diminutive,John,7

Jhonny,M,Spanish (Latin),Variant,Johnny,8

Joni,M,French,Variant,Johnny,8

Joni,M,Georgian,Variant,Johnny,8

Johnson,M,English,Surname,John,7

Jon,M,English,Variant,John,7

