Name,Sex,Count,Year
mireya,f,9939,74
tera,f,9918,124
berniece,f,9909,98
aiyana,f,9891,51
keyla,f,9881,59
lilyana,f,9872,42
karrie,f,9870,82
kimora,f,9869,32
monika,f,9810,79
aitana,f,9804,31
mazie,f,9797,142
caylee,f,9769,43
chastity,f,9711,54
christal,f,9710,96
lauretta,f,9710,140
debby,f,9697,88
jacquelin,f,9686,113
avianna,f,9677,35
jaida,f,9659,48
iola,f,9659,124
amelie,f,9654,101
fanny,f,9654,146
suzanna,f,9648,123
sarina,f,9624,91
laci,f,9623,60
alysha,f,9601,59
sariah,f,9594,54
lisette,f,9581,96
evalyn,f,9567,139
caren,f,9560,85
madonna,f,9560,125
tisha,f,9552,86
kora,f,9541,58
jazmyn,f,9522,45
alysia,f,9498,76
agatha,f,9491,146
kasandra,f,9468,81
charleigh,f,9455,40
shyanne,f,9442,52
aryanna,f,9435,38
maleah,f,9426,60
amora,f,9416,31
zahra,f,9395,53
katarina,f,9357,63
madalynn,f,9338,45
georgianna,f,9317,146
hadassah,f,9312,78
galilea,f,9309,33
lashonda,f,9234,51
maegan,f,9171,54
brigitte,f,9165,79
estela,f,9147,120
antionette,f,9141,123
suzan,f,9081,106
aliana,f,9065,46
tiffanie,f,9047,61
stacia,f,9027,121
emmalee,f,9008,83
marcela,f,8955,111
maurine,f,8954,110
anabelle,f,8919,77
katelin,f,8917,46
elana,f,8909,86
taliyah,f,8900,32
roxann,f,8885,93
jeanna,f,8881,92
samira,f,8875,63
malissa,f,8866,145
aviana,f,8863,42
emmalyn,f,8847,42
kristyn,f,8830,76
annetta,f,8814,145
elora,f,8811,80
lilianna,f,8808,45
kirstin,f,8778,69
kianna,f,8747,54
harriette,f,8740,119
katalina,f,8727,47
cecily,f,8673,110
amiya,f,8672,34
lolita,f,8664,131
alexandrea,f,8656,58
audrina,f,8629,43
luanne,f,8617,92
reta,f,8616,112
brisa,f,8595,52
kayley,f,8586,46
doretha,f,8562,96
lylah,f,8547,36
gertie,f,8532,103
frida,f,8491,80
malaya,f,8467,45
richelle,f,8456,82
sylvie,f,8444,88
hellen,f,8353,142
darleen,f,8332,112
misti,f,8324,54
eleanora,f,8322,142
jamila,f,8322,64
shakira,f,8276,56
sydnee,f,8255,65
starla,f,8231,84
sarahi,f,8204,45
tena,f,8186,141
marjory,f,8172,135
nathaly,f,8139,44
arlette,f,8109,113
una,f,8108,146
lyra,f,8095,78
jazlynn,f,8090,39
sabina,f,8082,146
miya,f,8071,60
ivana,f,8042,76
jacquline,f,8029,98
shyla,f,8026,75
charla,f,8026,104
lorri,f,8022,53
katerina,f,8021,69
jemma,f,8002,63
shanda,f,7997,65
kayleen,f,7995,91
aya,f,7987,53
belva,f,7960,108
karley,f,7955,54
nalani,f,7954,75
joana,f,7944,106
moira,f,7941,107
dorene,f,7925,90
annalee,f,7871,119
destini,f,7857,56
antonette,f,7803,139
susannah,f,7784,130
elida,f,7776,135
barbra,f,7758,104
lucie,f,7749,146
milena,f,7749,74
cathrine,f,7716,138
cindi,f,7696,72
jeana,f,7694,96
destiney,f,7690,52
collette,f,7672,117
alyse,f,7671,105
noelia,f,7655,86
ginny,f,7648,102
zariyah,f,7569,30
analia,f,7568,52
vienna,f,7565,117
velda,f,7559,98
valorie,f,7556,105
alesia,f,7544,79
mathilda,f,7527,135
danita,f,7516,84
leonora,f,7504,146
calista,f,7504,124
imelda,f,7476,130
shonda,f,7444,54
marilee,f,7434,112
zaniyah,f,7428,30
keila,f,7424,70
emmaline,f,7422,133
halie,f,7409,52
siobhan,f,7399,70
renita,f,7398,77
alannah,f,7392,43
charleen,f,7384,112
denisse,f,7370,63
adina,f,7364,114
pamala,f,7357,67
candi,f,7356,73
peggie,f,7355,96
everlee,f,7343,23
aryana,f,7329,40
zainab,f,7326,54
roseanne,f,7307,110
saniyah,f,7300,29
nathalia,f,7298,78
laylah,f,7297,34
hettie,f,7294,111
berta,f,7286,145
elyssa,f,7272,68
dorcas,f,7268,146
ayleen,f,7260,49
romina,f,7247,63
sharyn,f,7243,77
salina,f,7239,123
jenelle,f,7204,107
twyla,f,7192,121
mariann,f,7192,114
tamela,f,7186,65
natalya,f,7171,56
nila,f,7136,134
kayli,f,7134,47
laureen,f,7127,104
corinna,f,7110,121
maryjo,f,7109,111
nedra,f,7104,101
ruthann,f,7098,114
shaylee,f,7052,49
alysa,f,7050,70
avah,f,7046,30
eloisa,f,7040,138
kassie,f,7034,77
tressa,f,7034,146
stefani,f,7033,87
milana,f,7027,60
saniya,f,6985,36
shelli,f,6983,62
nikole,f,6982,62
rubye,f,6967,105
carmelita,f,6965,137
mimi,f,6950,120
aletha,f,6948,141
liv,f,6901,53
lailah,f,6900,38
jaunita,f,6893,94
jakayla,f,6840,38
kandice,f,6823,79
eleni,f,6822,78
soraya,f,6811,70
dortha,f,6811,88
ima,f,6806,104
coraline,f,6786,21
lavina,f,6781,146
yoselin,f,6772,41
anabella,f,6768,45
carleen,f,6744,111
marceline,f,6738,111
tosha,f,6727,53
rosita,f,6726,125
annabell,f,6725,142
jocelynn,f,6725,59
amberly,f,6724,62
lyndsay,f,6716,48
ayesha,f,6696,65
allyssa,f,6675,55
yuliana,f,6670,45
joleen,f,6670,101
josette,f,6659,102
gwyneth,f,6657,110
melvina,f,6645,136
yamileth,f,6643,44
joycelyn,f,6622,109
leigha,f,6594,63
lillianna,f,6583,39
taya,f,6580,65
dayanara,f,6568,45
darci,f,6566,76
krysta,f,6566,58
hailie,f,6565,45
naya,f,6563,47
priya,f,6562,57
britany,f,6562,54
elodie,f,6558,116
theda,f,6556,108
mariyah,f,6555,36
idella,f,6554,136
tawana,f,6545,68
janeen,f,6544,87
mylah,f,6544,30
shaniya,f,6541,39
jackeline,f,6534,67
annelise,f,6523,68
kaylah,f,6519,45
brigid,f,6504,93
terese,f,6503,114
sariyah,f,6500,28
kamilah,f,6489,55
vikki,f,6487,67
bettina,f,6482,121
teressa,f,6480,115
nanci,f,6474,87
carlotta,f,6462,143
carolynn,f,6453,107
aleta,f,6446,130
sharla,f,6444,92
latosha,f,6442,47
lianna,f,6434,71
golda,f,6430,145
violette,f,6403,129
laquita,f,6400,77
maybelle,f,6366,119
evelina,f,6365,145
kaela,f,6358,56
juli,f,6351,87
katia,f,6339,64
kandace,f,6323,81
grecia,f,6318,44
shyann,f,6316,48
hortense,f,6313,95
mittie,f,6298,102
kylah,f,6281,50
riya,f,6273,36
nannette,f,6273,101
novella,f,6272,140
pearline,f,6262,98
prudence,f,6256,145
maddie,f,6253,85
kynlee,f,6242,30
charline,f,6241,127
bryana,f,6222,49
ellianna,f,6212,32
evette,f,6211,89
meta,f,6211,135
giavanna,f,6210,46
cambria,f,6206,60
elina,f,6193,94
shameka,f,6191,38
verla,f,6190,86
yasmeen,f,6184,56
margarette,f,6164,143
emmeline,f,6152,86
sanaa,f,6146,44
marnie,f,6141,97
nala,f,6138,33
xochitl,f,6116,66
carleigh,f,6114,49
marleigh,f,6111,41
calliope,f,6098,47
maribeth,f,6098,107
joi,f,6095,80
heidy,f,6085,71
amia,f,6080,57
sommer,f,6080,58
nicolle,f,6077,65
jasmyn,f,6076,50
dalila,f,6042,78
leatha,f,6023,119
dawna,f,6017,95
nya,f,6006,54
adella,f,5998,146
zena,f,5986,145
annalisa,f,5975,72
orpha,f,5974,111
jessika,f,5969,56
kathryne,f,5959,145
karolyn,f,5957,113
anneliese,f,5943,87
lisbeth,f,5934,111
chiara,f,5927,66
isela,f,5925,90
lida,f,5921,146
melani,f,5912,78
felisha,f,5903,65
abagail,f,5898,60
abigale,f,5892,58
roseanna,f,5881,141
kalia,f,5870,52
corrina,f,5870,97
leatrice,f,5864,91
serina,f,5848,78
sharonda,f,5839,52
alyvia,f,5839,36
janay,f,5832,66
aliah,f,5831,50
anjali,f,5822,61
breann,f,5816,52
shira,f,5815,80
pennie,f,5814,136
scarlette,f,5806,79
chyna,f,5805,46
lesli,f,5799,80
nelle,f,5794,115
leena,f,5785,62
missy,f,5776,82
rhianna,f,5774,50
rosalina,f,5773,112
stephenie,f,5771,92
lupita,f,5770,108
caleigh,f,5768,42
venessa,f,5767,79
darcie,f,5753,81
teena,f,5746,74
gaye,f,5746,67
brea,f,5739,54
brigette,f,5727,73
ashli,f,5718,55
adelia,f,5717,146
venita,f,5708,104
charlize,f,5682,28
shoshana,f,5682,77
ilana,f,5678,76
cami,f,5671,71
montserrat,f,5669,44
lavinia,f,5660,146
aretha,f,5656,110
amayah,f,5653,28
carolann,f,5652,92
fawn,f,5635,114
mellissa,f,5625,67
latricia,f,5621,76
lizabeth,f,5619,109
ileana,f,5617,91
tatianna,f,5617,50
kattie,f,5592,141
cathie,f,5586,60
reanna,f,5580,58
shelbie,f,5580,85
jamya,f,5576,34
rosina,f,5574,146
jonna,f,5564,93
emberly,f,5562,42
anisa,f,5558,61
filomena,f,5550,136
harmoni,f,5549,45
joanie,f,5549,94
jenni,f,5548,81
